,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtQual,Electrical,ExterCond,ExterQual,Fence,FireplaceQu,Functional,GarageCond,GarageFinish,GarageQual,HeatingQC,KitchenQual,LandSlope,LotShape,PavedDrive,PoolQC,Utilities
0,3,1,6,1,4,5,3,4,0,0,8,3,2,3,5,4,3,4,3,0,4
1,3,4,5,1,4,5,3,3,0,3,8,3,2,3,5,3,3,4,3,0,4
2,3,2,6,1,4,5,3,4,0,3,8,3,2,3,5,4,3,3,3,0,4
3,4,1,5,1,3,5,3,3,0,4,8,3,1,3,4,4,3,3,3,0,4
4,3,3,6,1,4,5,3,4,0,3,8,3,2,3,5,4,3,3,3,0,4
5,3,1,6,1,4,5,3,3,3,0,8,3,1,3,5,3,3,3,3,0,4
6,3,3,6,1,5,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
7,3,2,5,4,4,5,3,3,0,3,8,3,2,3,5,3,3,3,3,0,4
8,3,1,1,1,3,3,3,3,0,3,7,3,1,2,4,3,3,4,3,0,4
9,3,1,6,1,3,5,3,3,0,3,8,3,2,4,5,3,3,4,3,0,4
10,3,1,3,1,3,5,3,3,0,0,8,3,1,3,5,3,3,4,3,0,4
11,3,1,6,1,5,5,3,5,0,4,8,3,3,3,5,5,3,3,3,0,4
12,3,1,5,1,3,5,3,3,0,0,8,3,1,3,3,3,3,2,3,0,4
13,3,3,1,1,4,5,3,4,0,4,8,3,2,3,5,4,3,3,3,0,4
14,3,1,4,1,3,5,3,3,2,2,8,3,2,3,3,3,3,3,3,0,4
15,3,1,1,1,3,4,3,3,4,0,8,3,1,3,5,3,3,4,3,0,4
16,3,1,5,1,3,5,3,3,0,3,8,3,3,3,5,3,3,3,3,0,4
17,0,0,0,0,0,5,3,3,0,0,8,3,1,3,3,3,3,4,3,0,4
18,3,1,6,1,3,5,3,3,0,0,8,3,1,3,5,4,3,4,3,0,4
19,3,1,2,1,3,5,3,3,3,0,7,3,1,3,3,3,3,4,3,0,4
20,3,3,1,1,5,5,3,4,0,4,8,3,2,3,5,4,3,3,3,0,4
21,3,1,1,1,3,3,3,3,4,4,8,3,1,3,5,4,3,4,1,0,4
22,3,1,1,1,4,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
23,3,1,6,1,4,5,3,3,0,3,8,3,1,3,3,3,3,4,3,0,4
24,3,2,3,5,3,5,4,3,3,3,8,3,1,3,5,4,3,3,3,0,4
25,3,1,1,1,4,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
26,3,2,4,3,3,5,3,3,0,0,8,3,1,3,3,4,3,4,3,0,4
27,3,1,6,1,5,5,3,4,0,4,8,3,2,3,5,4,3,4,3,0,4
28,3,4,4,1,3,5,3,3,0,4,8,3,2,3,3,3,3,3,3,0,4
29,3,1,1,1,3,5,3,3,0,0,8,3,1,2,2,2,3,3,3,0,4
30,3,1,1,1,3,5,2,3,3,0,8,2,1,3,3,3,3,4,1,0,4
31,3,1,1,1,3,5,3,3,3,0,8,3,1,3,4,4,3,3,3,0,4
32,3,3,1,1,5,5,3,4,0,0,8,3,2,3,5,4,3,4,3,0,4
33,3,1,3,1,3,5,3,3,0,4,8,3,2,3,4,4,3,3,3,0,4
34,3,1,6,1,5,5,3,5,0,4,8,3,3,3,5,5,3,4,3,0,4
